#"Step","Potential Energy (kJ/mole)","Temperature (K)"
26300,-315.86403184378764,306.9544842553392
26400,-321.5860616353694,300.74859761994725
26500,-288.8856641315144,293.8676269602254
26600,-319.84325758295245,293.8785216627309
26700,-323.5452679414874,299.38555673392915
26800,-315.46809979315935,296.55714179166637
26900,-328.198900159801,289.72990803610287
27000,-310.4526375912569,302.47687864302753
27100,-334.2527928903922,298.6839032555086
27200,-307.1076510838951,294.7622265631412
27300,-325.7813599169336,304.7556976352458
27400,-324.3393732982492,292.9189312930212
27500,-314.01352570880005,302.5761036573008
27600,-310.89701753940795,310.01920717211567
27700,-312.8279604898405,310.36097176198734
27800,-310.12254563169273,293.13597051024715
27900,-327.0724715298079,295.4767565647083
28000,-321.0717228275491,298.3012135025733
28100,-308.7434280563498,292.40671453729215
28200,-329.5275241429045,292.98437021450457
28300,-339.35306366783897,294.0731651583206
28400,-327.65972834976435,292.86702797159717
28500,-317.3675818733418,294.2013326508481
28600,-331.1845724922925,299.0166793859185
28700,-296.8390264946018,301.8245941876818
28800,-329.311620100229,296.47802752748555
28900,-309.4194238305303,292.3808888921863
29000,-305.03154081847504,298.7901132082222
29100,-298.7951508012707,297.79706423389086
29200,-295.8219041686386,304.6003713902116
29300,-280.20965061832374,308.31471042174985
29400,-307.10211553896306,309.709337330754
29500,-303.81217344843475,310.428038984198
29600,-297.5342892794137,297.29459812180505
29700,-295.9730789346334,294.82579349334765
29800,-304.2968770176156,293.55687944558537
29900,-323.690415321601,292.8360671052391
30000,-324.89310783486957,305.60374611069955
30100,-319.20000513524064,296.80956014757794
30200,-332.76901080048,299.7273777068751
30300,-346.50831181320007,295.1152311221544
30400,-327.0209738442285,299.2099135752343
30500,-331.5467247033709,304.5365359147345
30600,-327.29707923714886,308.6031154262484
30700,-286.0851019234415,305.6256328426105
30800,-295.97715331773963,306.4496610046531
30900,-296.67029122095886,304.72203013875543
31000,-301.85350035164294,302.6332431269968
31100,-317.5113829894736,305.7222758777061
31200,-318.10378619029166,303.1099238294534
31300,-344.37107591622254,291.2775314036455
31400,-326.8872511257113,290.9469409453668
31500,-291.4817755390238,297.39179716056765
31600,-306.01524594421454,303.3970542047067
31700,-311.4681556456998,299.1066049420479
31800,-290.24271168085903,302.5467863428141
31900,-290.7218904552129,293.54461079517495
32000,-291.78679037489013,288.75351971326916
32100,-318.0354743942752,289.9775052082773
32200,-298.2804613542061,285.74494557579516
32300,-285.7402932677049,279.104141728729
32400,-290.53477229447094,285.98705863519194
32500,-296.667097609504,287.6909251925463
32600,-297.89355990782855,298.9446930786707
32700,-329.178243714594,306.97582052121203
32800,-307.44832728749213,305.2288968554589
32900,-322.0462397464272,308.3867064198547
33000,-307.3395467711388,297.97088938824356
33100,-317.9481358753835,295.3716933329405
33200,-318.183435324942,291.5629762018097
33300,-294.9413458645047,292.3534995023982
33400,-313.1916462829401,295.04419939491856
33500,-321.21555376641885,301.0246393020797
33600,-306.6470825655476,301.5122950718983
33700,-321.297063979171,305.43136713509296
33800,-300.4150936199251,309.6021413786379
33900,-302.1032127275025,315.77565698431437
34000,-305.122483609557,310.7974287823165
34100,-304.88345264181226,306.578100938187
34200,-311.07587771401995,298.5122183178156
34300,-327.7521363138017,294.35971543636947
34400,-303.1632888494158,294.9688153779289
34500,-322.44880238291825,291.9985556465517
34600,-311.36512489995624,304.5660274235765
34700,-304.9145270266019,297.3267961964258
34800,-303.95735928387177,298.4759586104282
34900,-288.83733359629565,296.7674901586628
35000,-292.6195726456423,296.0228310340069
35100,-291.6427083588347,293.67935539340783
35200,-299.6204813053128,293.6988528092155
35300,-300.71449069678596,299.3013370741481
35400,-324.090417503435,302.77600890163853
35500,-293.00024316412487,304.89145762742635
35600,-291.1613449505698,299.47346442273886
35700,-331.5169871648521,299.4291526361724
35800,-336.18620056227627,294.1583919897465
35900,-303.99193462495873,285.7976392665835
36000,-306.63841093409184,291.8281047116345
36100,-316.2948754284171,292.9234098620527
36200,-324.43820094969624,282.67262137243824
36300,-319.721385770518,294.4058830691944
36400,-331.0669812299982,289.3985027996007
36500,-303.1321865780671,281.54829522845915
36600,-314.07391785902445,297.17991307991053
